Runde,Anzahl gesunder Personen,Anzahl infizierter Personen,Anzahl genesener Personen
0,8941,1059,0
1,8726,1274,0
2,8485,1515,0
3,8218,1782,0
4,7938,2062,0
5,7589,2411,0
6,7280,2720,0
7,6924,3076,0
8,6589,3411,0
9,6229,3771,0
10,5865,4135,0
11,5511,4489,0
12,5165,4835,0
13,4797,5203,0
14,4447,5553,0
15,4135,4806,1059
16,3847,4879,1274
17,3607,4878,1515
18,3352,4866,1782
19,3147,4791,2062
20,2934,4655,2411
21,2763,4517,2720
22,2562,4362,3076
23,2414,4175,3411
24,2277,3952,3771
25,2142,3723,4135
26,2013,3498,4489
27,1915,3250,4835
28,1836,2961,5203
29,1756,2691,5553
30,1676,2459,5865
31,1610,2237,6153
32,1554,2053,6393
33,1494,1858,6648
34,1439,1708,6853
35,1393,1541,7066
36,1355,1408,7237
37,1317,1245,7438
38,1294,1120,7586
39,1270,1007,7723
40,1243,899,7858
41,1213,800,7987
42,1191,724,8085
43,1174,662,8164
44,1153,603,8244
45,1129,547,8324
46,1109,501,8390
47,1095,459,8446
48,1077,417,8506
49,1062,377,8561
50,1047,346,8607
51,1032,323,8645
52,1012,305,8683
53,1002,292,8706
54,993,277,8730
55,979,264,8757
56,967,246,8787
57,959,232,8809
58,946,228,8826
59,937,216,8847
60,924,205,8871
61,916,193,8891
62,903,192,8905
63,895,182,8923
64,886,176,8938
65,876,171,8953
66,861,171,8968
67,850,162,8988
68,838,164,8998
69,824,169,9007
70,818,161,9021
71,806,161,9033
72,798,161,9041
73,789,157,9054
74,783,154,9063
75,774,150,9076
76,761,155,9084
77,753,150,9097
78,745,150,9105
79,740,146,9114
80,728,148,9124
81,723,138,9139
82,708,142,9150
83,698,140,9162
84,690,134,9176
85,683,135,9182
86,672,134,9194
87,664,134,9202
88,658,131,9211
89,653,130,9217
90,643,131,9226
91,637,124,9239
92,630,123,9247
93,623,122,9255
94,615,125,9260
95,611,117,9272
96,607,116,9277
97,603,105,9292
98,595,103,9302
99,592,98,9310
100,588,95,9317
101,585,87,9328
102,578,86,9336
103,572,86,9342
104,566,87,9347
105,564,79,9357
106,558,79,9363
107,553,77,9370
108,549,74,9377
109,542,73,9385
110,536,75,9389
111,531,76,9393
112,520,83,9397
113,514,81,9405
114,507,85,9408
115,503,85,9412
116,496,89,9415
117,490,88,9422
118,484,88,9428
119,477,89,9434
120,471,93,9436
121,463,95,9442
122,452,101,9447
123,449,100,9451
124,443,99,9458
125,438,98,9464
126,434,97,9469
127,427,93,9480
128,422,92,9486
129,419,88,9493
130,413,90,9497
131,411,85,9504
132,408,82,9510
133,407,77,9516
134,402,75,9523
135,397,74,9529
136,393,70,9537
137,391,61,9548
138,388,61,9551
139,382,61,9557
